ROCO_81826	 Model bone showing the extent of graft insertion
ROCO_82304	 Extracting ROI.
ROCO_82305	 Confocal scanning laser micrograph of Shewanella oneidensis MR-1 cells attached to the surface of an APTES-functionalized tipless cantilever. Cantilever was imaged after force measurements were performed. Scale bar indicates 2 μm.
ROCO_82306	 Slit lamp photo showing corneal edema and vertical opaque lines at the level of Descemet's membrane.
ROCO_82307	 A magnified dorsal view of the right hemisphere activation correlated with mean aJrk values during SteerPv trials (yellow; p  HeadingPv (red: FDR, p  Fix contrast (White: p < 0.001 unc.) from the PEF localizer. The white dotted line indicates the postcentral sulcus.
ROCO_82308	 Polypoid, exophytic mass of the ampulla of Vater. Endoscopic appearance (T: tumour mass).
ROCO_82310	 On arthroscopic examination, the ACL was found to be intact.
ROCO_82311	 Photograph of a Montgomery t-tube and i-gel. (1) Short laryngeal part, (2) Long laryngeal part, (3) Extratracheal part, (4) Standard endotracheal tube connector, (5) i-gel, (6) Extension corrugated tube, (7) Carlens (Y) adapter.
ROCO_82312	 Wound area at the middle of the balloon.
ROCO_82313	 Incision given on the umbilical scar and the rectus sheath to enter the peritoneal cavity.
ROCO_82316	 Tailored mess on the urethra after sutures are pulled
ROCO_82318	 Illustration of the foot showing the peroneus brevis attachment and its relationship to the proximal fifth metatarsal apophysis.
ROCO_82320	 An example of segmented corneal image. The Epithelium boundary (cyan), the Bowman boundary (red), and the Endothelium boundary (green).
ROCO_82321	 Parameters for weight computation in RPE.
ROCO_82322	 Diagramatic representation showing transfix system (cortical cancellous suspension technique)
ROCO_82325	 Extensive tooth loss is frequent in the elderly.
ROCO_82327	 Immunohistochemistry showing presence of nerve bundles.
ROCO_82329	 Track on Palcam agar of wafer with L. monocytogenes biofilm not treated with P100 phage (L. monocytogenes grew, hydrolyzed esculin and produced colonies surrounded by black haloes on the Palcam agar).
ROCO_82330	 Closure.
ROCO_82331	 Schematic diagram of lingual osteotomy with an oscillating saw in the preconstruction phase of intentional fracture. Note that the osteotomy should be continued until the oscillating saw is as close to the outer surface of the lingual cortex as possible.
ROCO_82333	 Generation of distortion corrected texture patches.
ROCO_82334	 The anatomic structures at risk when performing a tendoachilles lengthening (TAL): peroneal and posterior tibial arteries; lesser saphenous vein; and tibial and sural nerves
ROCO_82335	 The needle is observed entering the gastric lumen; the transillumination of the laparoscope light is visible through the wall of the stomach.
ROCO_82336	 Venogram showing IVC filter.
ROCO_82337	 A larger liquid-nitrogen Dewar and cassette stand. There are six cassette locations within the developed Dewar. One dumbbell stand is attached to the cassette stand. One more dumbbell stand can be attached at a point-symmetrical position around the centre of the Dewar.
ROCO_82338	  In vitro antibacterial activity of disk containing solvent extract of Allium sativum and Syzygium aromaticum. Note: (i) methanol extract of S. aromaticum﻿, (ii) acetone extract of S. aromaticum, (iii) Acetone extract of A. sativum, (iv) Blank control, (v) Azithromycin antibiotic disk.
ROCO_82339	 Confocal corneal examination revealing extreme corneal nerve thickening.
ROCO_82340	 Colonies of Chromobacterium violaceum in cystine lactose electrolyte deficient agar.
ROCO_82341	 The simulation results can be inspected in an interactive visualization of the geo-temporal evolution of the epidemic. The map shows the state of the epidemic on a particular day with infected population cells color-coded according to the number of new cases of the quantity that is being displayed. Pop-ups provide more details upon request for each city basin. The zoomable multi-scale map allows the user to get a global overview, or to focus on a part of the world. The media-player-like interface at the bottom is used to select the day of interest, or show the evolution of the epidemic like a movie. Two sets of charts on the right show the incidence curve and the cumulative size of the epidemics for selectable areas of interest.
ROCO_82342	 ECRL, ECRB, and palmaris longus tendons.
ROCO_82343	 The forceps blades are aligned and locked together. Extraction of the tissue retrieval sac is accomplished by applying axial traction to the locked forceps.
ROCO_82344	 Preoperative coronal T1-weighted MR image of the left foot.
ROCO_82345	 Longitudinal view of the sacral hiatus. The top panel is an ultrasound image showing how the distance from the skin to the apex of sacral hiatus (i), the depth of the sacral canal at the apex of sacral hiatus (ii) and the length of the sacrococcygeal ligament between the apex of sacral hiatus and sacral base (iii) were measured. The bottom panel is a schematic diagram showing the apex of the sacral hiatus, sacrococcygeal ligament, sacral canal and sacral base
ROCO_82346	 Pathogenetic mechanisms of plunging ranula development: 1) the sublingual gland may project through the mylohyoid to provide an origin; 2) the cyst may penetrate through the mylohyoid to join the sublingual gland in the mouth; 3) a duct from the sublingual gland may join the submaxillary duct and give rise to a ranula in continuity with the submandibular gland or its duct; 4) plunging ranulas may occur iatrogenically after surgery to remove oral ranulas.
ROCO_82348	 Hypopygium, dorsal view. gc=gonocoxites, gst=gonostylus, aed=aedeagus, par=parameres.
ROCO_82349	 Bicanalicular silicone intubation stenting.
ROCO_82350	 Model based RSA scene of the implanted SR TMC prosthesis. 3D reconstruction image in the centre of the figure shows the position of the trapezium component, markers in the polyethylene metacarpal component and the markers in inserted in bone (first metacarpal and trapezium). (if in colour print): Model based RSA scene of the implanted SR TMC prosthesis. 3D reconstruction image in the centre of the figure shows the position of the trapezium component (green), markers in the polyethylene metacarpal component (purple) and the markers in inserted in bone (first metacarpal and trapezium, red)
ROCO_82351	 (A) An 18-gauge spinal needle first penetrates the capsular portion, crosses the tear, and then exits the tibial surface of the inner fragment of the middle segment of the lateral meniscus in the bone model. (B) Arthroscopic image of No. 2 PDS suture material advanced through the spinal needle.
ROCO_82354	 Still frame image of a fiberoptic laryngoscopy examination of a patient with right-sided supraglottic edema (area encircled in black). The right true vocal fold is partially obscured by the supraglottic edema. The left arytenoid (A) and left false vocal fold (F) are marked. Of note, this patient improved clinically and on repeat examination and did not require intubation.
ROCO_82355	 Corneal fluorescein staining. Image from a patient with aqueous deficiency. The disruption in the integrity of the corneal epithelium is highlighted by the application of fluorescein staining to the ocular surface. Moderate-to-severe staining with fluorescein is depicted in the photograph. Image courtesy of Karl Stonecipher, MD.
ROCO_82356	 Hypopygium, dorsal view. d.l.gst=dorsal lobe of gonostylus, v.l.gst=ventral lobe of gonostylus, m.p.gst=mesial portion of gonostylus, aed cmx=aedeagal complex.
ROCO_82357	 (a) The VP duct travels in part of hypoecheic pancreas. (b) On following the duct, it can be traced to the muscularis layer and the papilla on anticlockwise rotation, and it turns around the portal venous confluence toward the body of pancreas on clockwise rotation
ROCO_82358	 Femoral tunnel position by the quadrant method in a 3-dimensional computed tomography model. t: line parallel to the Blumensaat's line, h: line perpendicular to the Blumensaat's line.
ROCO_82359	 MDCT renal angiography showing three renal arteries in panel A (coronal MIP image) and two renal arteries in panel B (coronal VRT image, different patient) in the right kidney. When one of the arteries is dominant in terms of caliber, it is labeled as main renal artery and rest as accessory renal arteries, as illustrated in panel A (arrow). When the renal arteries are similar-sized, they are labeled as upper and lower renal arteries as in panel B (arrow)
ROCO_82360	 Ten cm wide balloon
ROCO_82361	 Safranin-O-stained tissue section of a human embryonic developing proximal tibia (gestational day 54).Red-orange staining represents proteoglycans in the developing cartilage extracellular matrix. This stage of development is prior to endochondral ossification. Chondrocytes at various stages of differentiation are present at this stage: precursor chondrocytes (PC) are found at the most proximal end of the developing tibia as well as in the surrounding perichondrium; differentiated chondrocytes (DC) are located further down the developing limb and are distinguishable by their cuboidal or flattened phenotype, depending on their location; hypertrophic chondrocytes (HYP) are terminally-differentiated cells easily distinguished by their increased size. Also shown in this image are the developing femoral condyles (fc) of the distal femur. Scale bar = 250 µm.
ROCO_82362	 The foam earplug (FEP) found in the diaper.
ROCO_82363	 The Goblin Post Office game. The dragon flies forwards through the cave at a speed set by the game software, and individual targets appear at some distance ahead unpredictably in one of the four horizontal locations shown. The subject directs the dragon towards the target by left- and rightward pelvic rotation, registered by a triangular array of reflective markers. A second set of markers registers trunk motion, enabling evaluation of trunk to pelvis coupling.
ROCO_82364	 Posterior view of the gastrografin series.
ROCO_82366	 Anterior segment optical coherence tomography of the left eye.
ROCO_82367	 0.7 mm bimanual irrigation aspiration probe used for removal of cortex.
ROCO_82368	 Preoperative enhanced 3-dimensional computed tomography scan. Tumor (purple-colored, enclosed with black lines, arrowhead) is located behind external carotid artery (white-colored, arrow). Internal carotid artery (white-colored, double arrow) and internal jugular vein (blue-colored, asterisk) are pushed backward by tumor.
ROCO_82369	 Phenotypic instability of a clinically-derived strain of S. cerevisiae. The arrows indicate Pet+ colonies appearing from the Pet− progeny
ROCO_82370	 AS-OCT of planar DMD 1 month after phacoemulsification surgery
ROCO_82371	 The EcoSac230 bag is inserted through a 12-mm trocar.
ROCO_82372	 Once the mass has been enucleated, intraoperative upper endoscopy is performed to check for violation of the esophageal mucosa. The esophagus is submerged under water and the endoscope is used to insufflate air into the esophagus, causing the mucosa to bulge at the myotomy site. This allows the surgeon to identify any sites of perforation, as air bubbles will be seen escaping from the lumen at the site of mucosal injury. Mucosal perforation is uncommon, but intraoperative assessment is mandatory and, when identified, is easily repaired with minimal risk of postoperative complication. Most mucosal injuries can be repaired with simple interrupted 2-0 or 3-0 absorbable suture. Larger defects can be closed with suture or a linear endoscopic stapler using a vascular load. A 54-French bougie should be carefully passed under direct thoracoscopic vision prior to attempting stapled repair in order to avoid excessive narrowing of the lumen.
ROCO_82373	 Noma.
ROCO_82374	 Location of sampling point.
ROCO_82375	 Micro-CT scanning image of disc of Amphiura capensis. The 5.4 μm isotropic voxel size scan shows calcified skeleton components (intensely bright areas), juveniles (js; arm = ja, disc = jd) and soft tissues such as the bursal wall (bw). Scale bar: 1 mm
ROCO_82376	 Beaker that contained the stimulus solutions.Inserted into the beaker were two HPLC filters through which air flowed to create bubbles. Subjects sampled the solutions by inserting the tip of their tongue over the near HPLC filter. Under the control of a solenoid valve, bubbles could be presented under the tongue (as shown, or away from the tongue (by directing air to the further HPLC filter). In the background, a computer monitor is visible (subjects could see it clearly). On the monitor is an LMS scale. Subjects continuously tracked bite intensity by moving a mouse that controlled the height of blue bar next to the LMS.
ROCO_82378	 Hypothesis: a possible perspective on myeloma growth. Green cells represent plasma cells; yellow cells represent cancer stem cells/myeloma progenitors. This model proposes that the number of plasma cells accurately reflects the number of generative cancer stem cells prior to therapy, after diagnosis or in relapse (left panel) but does not bear a numerical relationship to cancer stem cells in remission (right panel). We speculate that this may be due to selective killing of plasma cells by therapy that spares cancer stem cells. In this context, the pre-treatment VDJ% may correlate with EFS because it is an indirect measure of cancer stem cell activity.
ROCO_82380	 Experimental setup of the exposure system.
ROCO_82383	 Extracorporeal stomach filled with trichobezoar.
ROCO_82386	 Schematic illustration of measurements of linear distances from the posterior superior iliac spine (distance a) and the midline (distance b) to a branch of the MCN traversing over or under the LPSL.Abbreviations: LPSL, long posterior sacroiliac ligament; MCN, middle cluneal nerve.
ROCO_82388	 Orkan Telhan, “Biorealize: Microbial Design Studio,” 2015. Orkan Telhan’s “Biorealize” is a prototype: a piece of custom liquid handling and incubation hardware that serves as an automated biolab that designs, cultures, and tests genetically modified organisms. While it looks remarkably like a DJ’s turntable, it functions in real time at “Wetware” to manufacture the smell of bananas.
ROCO_82389	 Corneal optical coherence tomography of one patient 6 months post transepithelial corneal collagen cross-linking with demarcation line at a depth of about 300 um
ROCO_82390	 Healing at 4 weeks
ROCO_82391	 A case of laparoscopic port site infection following cholecystectomy
ROCO_82394	 Upper endoscopy showing an erosive lesion approximately 0.6 cm long in the anterior wall of the gastric mid-body.
ROCO_82395	 Agarose gel electrophoretic pattern of prothoracic gland after treated by azadirachtin. Lane M: marker. Lane 1: DNA sample of the prothoracic gland in control group. Lane 2: DNA sample of the prothoracic gland in control group after 36 h. Lane 3: DNA sample of the prothoracic gland after treated by azadirachtin for 0 h. Lane 4: DNA sample of the prothoracic gland after treated by azadirachtin for 12 h. Lane 5: DNA sample of the prothoracic gland after treated by azadirachtin for 36 h.
ROCO_82396	 No flow across the collateral after successful deployment of AVP type II
ROCO_82397	 Laparoscopic grasper placed within colonic perforation.
ROCO_82398	 Irreplaceability hotspots of the endemic threatened marine chondrichthyans.Endemics were defined as species with an Extent of Occurrence of <500,000 km2 (n = 66). Irreplaceable cells with the greatest number of small range species are shown in red, with blue cells showing areas of lower, but still significant irreplaceability. Irreplaceability is the sum of the inverse of the geographic range sizes of all threatened endemic species in the cell. A value of 0.1 means that on average a single cell represents one tenth of the global range of all the species present in the cell. The numbers are hotspots referred to in the text.DOI: http://dx.doi.org/10.7554/eLife.00590.016
ROCO_82399	 Pt no. 1. CT scan reconstruction showing zygomatic implant placement after maxillectomy
ROCO_82400	 Long arrow points to liver. Short arrow indicates left hepatic vein conducting blood from liver to left duct of Cuvier. Note pigment in gall bladder (B). Head is positioned to the left and dorsal surface is at top of figure. In left upper corner note otolith in inner ear. Bar = 0.1 mm.
ROCO_82402	 Bilateral proptosis with frozen globe (complete restriction of ocular movements) in a middle aged female with IgG4-related orbitopathy
ROCO_82403	 The lymph node is shown on ultrasound with some cortical thickening at its distal pole suggesting focal metastasis.
ROCO_82404	 Insertion of a CVC in the right subclavian vein under USG guidance. The images shows the position of the USG transducer and needle with respect to the clavicle (Cl). H indicates the head end of the patient
ROCO_82405	 Superimposed lateral photograms to assess pre- and postsurgical soft tissue landmark movements: TV = True Vertical in Nasion; TH = True Horizontal; Trg = Tragus.
ROCO_82406	 Stamp issued by Uruguay featuring Dr. Jose Verocay in 1998
ROCO_82408	 Hand lengths.
ROCO_82409	 Marking the landmarks and drawing the suture line including the triangles of superolateral corner of the tonsillar fossa on both sides (*).
ROCO_82410	 Intracorporeal pneumatic lithotripsy of a parotid stone.
ROCO_82411	 On-demand image data integration through REST protocol: the image was taken in the axial place, the patient identifiable information has been removed from the digital picture, and the lesion at the left breast is indicated on the image, which can be compared with the clinical and pathology records on the screen.
ROCO_82412	 Balloon dilatation of Wharton's duct.
ROCO_82413	 (a–d) Direct blood flow of popliteal artery (a), anterior tibial artery and posterior tibial arteries (b, c), and foot arteries (d) was restored after angioplasty
ROCO_82414	 The myth of the Titan Prometheus provides an icon for RegMed. Prometheus was known as the benefactor of mankind for his desire to assist mortals and give them many beneficial gifts that helped them to survive and live prosperous lives. His duty as a god was to form man from water and earth, and in doing so, gave them each a gift of strength or speed, craftiness or wisdom, and many other benefactors that improved their ways of living. The most well-known gift of Prometheus was the gift of fire which Prometheus stole from Zeus’ lightning bolts. Prometheus’ defiance and betrayal provoked Zeus to have him chained to Mount Caucasus, where an eagle ate daily from his ever-regenerating liver. As an immortal Titan, Prometheus’ liver grew by night what the eagle had eaten the day before. His torture lasted 30,000 years until he was freed by Hercules.
ROCO_82415	 Umbrella-shaped implant used in the femoral head [1].
ROCO_82416	 Arthroscopic view of the anteromedial (AM and posterolateral (PL) bundles, through the anteromedial portal.
ROCO_82417	 Silver staining of isolated sperm centrosomal fractions on a 12% SDS-PAGE. Lanes 1 to 11 - The various fractions collected by discontinuous sucrose density gradient method. Fractions 2-9 contains maximum proteins i.e., centrin, α and γ tubulin. Lane M - Broad range rainbow protein molecular weight marker (12,000 - 2,25,000, Amersham Biosciences now GE Healthcare Lifesciences)
ROCO_82418	 Total esophagectomy specimen shows a pedunculated mass of 20 cm in length and 7 cm in diameter with a stalk 3 cm in length and 1 cm in diameter (E: esophagus; M: mass).
ROCO_82419	 Cross-sectioned tooth specimen in epoxy resin for hardness test with measurement points.
ROCO_82421	 Echocardiogram showing thrombus in the inferior vena cava
ROCO_82422	 Coronal magnetic resonance 3-dimensional spoiled gradient–recalled echo (3D SPGR) images of the femoral tunnel. (A) Specimen demonstrating hypointense signal representing less vascularized tissue. (B) Specimen demonstrating moderate vascularized tissue. (C) Specimen demonstrating high vascularized tissue.
ROCO_82423	 Cross-linear tension forces within the cell.Cell Example: For a = 4.4 nN, we have the domain max and min values of Ki & Tcl-i in correspondence to gray values, each of which is labeled by a value “i”. For each label value “i” corresponds an interval of possible cross-linear tensions Tcl-i, ranging from Tcl-max-i to Tcl-min-i. Since the amount of actin detected increase as a pixel gets brighter, i.e. as the label value “i” increases, Ki& Tcl increase as well. When we refer to Tcl-max we in fact refer to Tcl-max-10, the highest cross-linear tension value.
ROCO_82424	 (A) SWCNTs added in aqueous solution of 10 mM NaCl (B) SWCNTs added in an aqueous dispersion containing 0.8 w/v egg-PC.
ROCO_82425	 Correction of Peyronie's with corporeal plication.
ROCO_82426	 Mesocyclops.
ROCO_82427	 Photograph of transparent glass with Ag nanoparticle arrays.
ROCO_82428	 Brain region activations during Tailored messages associated with quitting. Greater dmPFC activation predicted quitting and greater precuneus activation marginally predicting quitting. Regions are defined by areas preferentially engaged during Tailored messages in contrast to Untailored messages and also self-related processing in the Self-Appraisal task. The color map depicts the t-score and image coordinates are in MNI space.
ROCO_82429	 Screenshot after LED-mask registration and additional surface matching (M–M+SM); distribution of points collected with the pointer tip.
ROCO_82430	 Giant saccular aortic arch aneurysm (white arrow) diagnosed by magnetic resonance imaging (MRI).
ROCO_82432	 Mammography. Mammography of the left breast showed amorphous grouped calcifications in the left beast. There were no appreciable findings in the right breast
ROCO_82436	 Adaptation of the 26-gauge wire over the center of the neutral zone recording
ROCO_82437	 Chest X-ray showing pleural effusion with consolidation.
ROCO_82439	 Electrocardiogram (a) and cardiac ultrasound, (b) The figure shows the 12-lead electrocardiogram pointing out the first-degree atrioventricular blockage (panel A). In panel B, cardiac ultrasound (parasternal long-axis view) depicts left ventricle wall thickness, diffuse myocardial hyperechogenicity, and mild pericardial effusion
ROCO_82441	 The foreign body: a buffalo bone
ROCO_82443	 SEM image of drug particle.
ROCO_82444	 Fog in simple mask
ROCO_82445	 Image of the 3D print of Case 2 showing an incomplete hard-cleft deformity. Scale shown here is the same for Figures 1–3.
ROCO_82446	 Aedeagal complex, dorsal view. aed=aedeagus, par=paramere, ej ap=ejaculatory apodeme, par ap=parameral apodeme.
ROCO_82448	 Photograph of the patient on the day of VEP examination, showing a proptotic left eye
ROCO_82450	 The appearance of trimmed familial tooth bone blocks. Block-type graft materials were hydrated for 30 minutes in normal saline, divided to two blocks with a #15 blade.
ROCO_82451	 Three standard portals for hip arthroscopy
ROCO_82453	 Schematic of the core/shell-like nanostructure: Li2MnO3 surface coating on LiMO2 (M = Ni, Co, Mn) bulk electrode materials.
ROCO_82454	 A 28-French chest tube inserted into the condom 1 cm distal to the ring.
ROCO_82456	 CT scan shows Subarachnoid hemorrhage with multiple hemorrhagic contusions and Pneumocephalus (Case 2).
ROCO_82457	 Board on which participants practiced the bimanual motor skill. Shapes were traced concurrently and movements were tracked by the position of reflective markers on the fingertips. Fingertip arrivals at corner zones were taken as the basis for performance measurement and sonification
ROCO_82459	 Pelvic tomogram showing the prostatic volume
ROCO_82460	  Skin markings for incision below the border of mandible.
ROCO_82461	 Initial magnetic resonance imaging of the neck showing right sided cystic hygroma, pushing the neck structures to the left.
ROCO_82462	 Cleaving the subincisional epinucleus using focal and multiquadrant hydrodissection
ROCO_82463	  CT scan of the abdomen. 
ROCO_82464	 Characteristic copulatory bursa in male Troglostrongylus brevior. Scale-bar: 100 μm
ROCO_82465	 Growth of colonies of Abiotrophia defectiva in the chocolate agar plate (right side) compared to sparse grown in blood agar (left side) due to lack of nutrients such as pyridoxal phosphate
ROCO_82466	 Patient radiograph evaluation: (a) at eight years of age; (b-f) periodic follow-up of the patient with development of windswept deformity and subsequently correction by guided growth technique; (g) at final follow-up at 16 years of age.
ROCO_82468	 The bladder (A) was dissected from the invasive placenta at the lower uterine segment (B). Note the significant distention of the lower uterine segment by the placenta.
ROCO_82469	 Ultrasound of the right seminal vesicle mass.
ROCO_82471	 View of trap B (Utricularia inflata).The figure shows the definition of the lateral width  used for the data presented on Figure 6.
ROCO_82472	 Stomach is being pulled up to the anterior abdominal wall.
ROCO_82474	 The extensor apparatus of a finger. The red triangle shows the area that should be resected in the distal ulnar intrinsic release procedure. The triangular piece consists of oblique fibres and the ulnar lateral band.
ROCO_82475	 Capnograph showing endotracheal position
ROCO_82476	 The first polar body (the smaller cell atop the oocyte) deforms the mammalian egg away from its encapsulating zona pellucida, creating a gap.
ROCO_82477	 Pseudo-anterior chamber formation due to microperforation of the Descemet's membrane
ROCO_82478	 Cross-sectional images of the cornea after penetrating keratoplasty: (a) Scheimpflug image measured by Pentacam HR, (b) SS OCT cross-sectional image. Red lines delineate the segmented corneal boundaries.
ROCO_82479	 X-ray finding of narrowed mid- and distal esophagus and dilated proximal esophagus and X-ray finding of esophagus after retrograde intraluminal dilation
ROCO_82480	 Fibroendoscopy showing a reconstruction separation.
ROCO_82481	 Macroscopic appearance of an osteogenic matrix cell sheet.
ROCO_82482	 Tuohy needle (18-G) inserted anterior to Ultrasound transducer, which is held transversely in plane to perform the TAP block
ROCO_82487	 Overview of the location of the four ROIs where the histogram of the euclidean distance transformation distribution has been calculated. Gray: semi-transparent volume rendering of the lung tissue sample. Red: four ROIs, extracted to calculate the distance transformation. The labels of the ROIs conform to the legends in Fig. 9 ▶.
ROCO_82488	 Postoperative periapical radiograph for maxillary right first premolar, maxillary right canine, maxillary left canine, and maxillary left first premolar.
ROCO_82489	 Rendering of the AustinMan voxels used in the FDTD simulation.
ROCO_82490	 A 5-mm loader is inserted through a standard 5-mm trocar. It carries a 5-mm Maryland grasper attachment, which is either a Maryland dissector or a blunt grasper.
ROCO_82495	 Intraoperative tumor localization. The tumor was endoscopically tattooed with India ink allowing posterior localization during surgery. Arrows denote the abnormality area limited to the body of the stomach.
ROCO_82496	 Field experiment on the measurement system.
ROCO_82497	 Glove method.
ROCO_82498	 Photomicrograph of the method for electrical recording from an isolated primary cilium. A glass-coated bead is covered with a confluent layer of mIMCD-3 cells. The yellow line represents the boundary between the bead and the cells. One primary cilium of one cell is visible entering the tip of the recording pipette. Bar = 10 μm.
ROCO_82499	 Phenotypes of P. aeruginosa CF isolates 383 and 2192 on L agar media. Streaks of strains 383 and 2192 were cultured on L agar for 24 h at 37°C. These two strains were isolated within 2 days apart from a CF patient. Previous data indicated these strains are isogenic (Hanna et al., 2000). The genome of strain 2192 has been sequenced1 (Mathee et al., 2008).
ROCO_82500	 Square-sprue design
ROCO_82502	 Case 1: CD20 positivity shown by lymphomatous portion.
ROCO_82503	 Intraoperative fundus photography showing internal limiting membrane flap over fovea (arrow)
ROCO_82504	 Clare Szalay Timbo
ROCO_82506	 Systemic supply to the right lung base by two large collaterals (purple) from the upper abdominal aorta (aorta, red), one of which is a branch of the coeliac trunk, and right lung venous drainage to the suprahepatic IVC through multiple, at least three, channels (blue)
ROCO_82508	 The operating surgeon stands on the right side of the table, facing the patient’s back. The assistant stands on the left side of the table, facing the patient’s front. Five thoracoscopic ports are placed. The 5 or 10 mm camera port is placed first, located in the posterior axillary line in the 7th or 8th intercostal space. The remaining ports are placed under direct thoracoscopic vision using a 30-degree scope. A 5 or 10 mm port is placed in line with the tip of the scapula posteriorly in the 7th or 8th intercostal space and serves as the surgeon’s right-handed working port. A 5 mm port is placed one intercostal space below the tip of the scapula for the surgeon’s left-handed working port. A 10 mm port is placed in the 4th intercostal space in the mid-axillary line for the lung retractor. If a second assistant is available, an additional 5 mm port can be placed in the 6th intercostal for an additional retraction port or for a suction-irrigator.
ROCO_82509	 External rotation of 45° bilaterally after one year of follow-up
ROCO_82510	 (a) Schematic of single-molecule rolling-circle assay. ‘SA’, streptavidin. Upon leading-strand synthesis, DNA is displaced from the circle as the replisome ‘rolls’ around the template. The emerging ‘tail’ is converted to dsDNA via lagging-strand synthesis. As a result, the DNA that couples the M13 circle to the surface increases in length and is extended in the direction of flow. (b) Example field of view. Note both the length and number of products. Each flow cell has thousands of such fields, allowing for large numbers of products to be observed in a single experiment.
ROCO_82511	 The auricular acupoints chosen for acupressure.
ROCO_82512	 Inferior capsulotomy.
ROCO_82513	 Osteotomy levels of the different stem types (collum (C), partial collum (PC), trochanter sparing (TS), and trochanter harming (TH)
ROCO_82516	 Phage AP22 plaques.Phage AP22 plaques with opaque haloes on the host A. baumannii 1053 strain.
ROCO_82517	 Model for this study
ROCO_82518	 Geitlerinema terebriformis in culture (trichomes ~5 µm wide) in D medium at 45 °C.
ROCO_82519	 Fundus autofluorescence image of the same eye as in Figures 2 and 3, done after 2 months of treatment with antituberculosis therapy and systemic corticosteroids. The lesions show progressive healing with previously active lesions now showing Stage 2 autofluorescence (Blue arrow). White arrow shows Stage 3 and yellow arrow shows Stage 4 healing patterns
ROCO_82521	 Diagnostic wax up with an increased vertical dimension.
ROCO_82523	 The local curvature of the thoracic spine shows a typical, posterior view of idiopathic-type scoliosis involving a right rib prominence and a left depressed thoracic cage.
ROCO_82525	 Mycobacterium fortuitum on blood agar
ROCO_82526	 Anterior cruciate ligament revision with the anterior tibialis tendon.
ROCO_82528	 Laparoscope placement and revision of peritoneal dialysis catheters.
ROCO_82529	 Surface currents of the South Atlantic and the location of coral core HMF-1. Shown are the approximate locations of the South Equatorial Current (SEC) with the southern (sSEC), central (cSEC), and northern (nSEC) branch; the South Equatorial Counter Current (SECC); the Equatorial Undercurrent (EUC); the North Equatorial Counter Current (NECC); the north equatorial current (NEC) and the North Brazil Current (NBC).(Stramma and Schott, 1999) The cross-hair marks the location of our coral core. The solid line marks the shortest plausible trajectory from the central South Atlantic to the Caribbean Sea.
ROCO_82530	 Original graphic with Moiré pattern
ROCO_82531	 DAPI index after [59].
ROCO_82532	 Trocar placement.
ROCO_82533	 Vinyl polysiloxane impressions of the anterior teeth in ICP.
ROCO_82534	 Endoscopic extraction of the remnant nasogastric tube. The remnant fragment of the nasogastric tube (⋆) is localised endoscopically and extracted with an endoscopic loop (Δ). This approach is completed by the surgeon, who performs laparoscopic suturing of the staple line defect.
ROCO_82535	 Representative example of SIET measurements showing calculated ion fluxes along the surface of the in vitro hindgut of Rhodnius prolixus. Localized ion flux was illustrated by vectors superimposed on a digital image of the hindgut. The direction of the vector reflects the movement of ions into (influx) or out of (efflux) the hindgut, whereas the length of the vector reflects the magnitude of the ion flux. Large influxes of K+ are observed over the ampulla that increased centrally and dissipated at the margins. No additional K+ fluxes were observed along the length of the hindgut. The lengths of the arrows indicate the magnitude and direction of the potassium flux (N = 10).
ROCO_82536	 Volumetric measurement of vitreal spaces can be performed in three-dimensional (3D) enhanced vitreous imaging volumetric datasets.The bursa premacularis (BPM) and area of Martegiani are segmented and highlighted. The volume of the BPM and area of Martegiani measured within the imaging range of the dataset is 6.84 µL and 3.06 µL, respectively. Video S3 is a 3D rendering video animation of the retina with the highlighted BPM and area of Martegiani.
ROCO_82537	 Measurement of expression of torque
ROCO_82538	 Left eye of a patient undergoing a second operation for orbital hemorrage.
ROCO_82539	 CT Angiography cerebral vessels showing ACom aneurysm
ROCO_82540	 Invasion of the lesion in the lymph nodes (H and E stain, 4×)
ROCO_82541	 See video, Supplemental Digital Content 2, which demonstrates lower face neurotoxin injection, available in the “Related Videos” section of the full-text article on PRSJournal.com or, for Ovid users, at http://links.lww.com/PRSGO/A334.
ROCO_82542	 Three-dimensional view of both maxillary and mandibular arches depicting amount of bone present, craters, furcation, and crestal bone loss
ROCO_82544	 White arrow on stomach. Black arrow on overriding colon with hematoma from previous percutaneous endoscopic gastrostomy attempt.
ROCO_82545	 Image of adult anthropomorphic torso phantom (RS 310 lung/chest phantom, Fluke Biomedical) used.
ROCO_82546	 Fridiano Cavara.
ROCO_82547	 Intrathecal injection in rats: anatomical landmarks and site of injection.Cx: coccygeal vertebrae, L5: fifth lumbar verterbrae, L6: sixth lumbar vertebrae, S: sacrum. ★: injection site (L6-S1).
ROCO_82548	 Posterior approach for subcarinal lymph node dissection after VATS left lower lobectomy. Desc=A: descending aorta.
ROCO_82549	 Sketch map for double catheterization cannula, which is made of 3 parts. Part a is a plastic dead-end tube with a diameter between 24F and 30F. There are 14–30 side apertures along the tube according to the length of the tube and the diameter of each side aperture is 5 mm. Part b is a 12F urinary catheter for continuous infusion of irrigation fluid. Part c is a plastic drainage tube inside part and it is used for continuous negative pressure drainage. The diameter of Part c is about half of Part a
ROCO_82550	 Esophagoscopy: rised whitish plaques on erythematous mucosa
